dremio_col,virt_full_path,dataset,domain,rule,total_lignes,valides,score_pct,flag,timestamp
employeur,VIRTUALISATION.staging-nova-referentieltiers.customer_job.employer,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Complétude,4550906,1259354,27.67,FAIL,2026-06-05T15:57:12
code_ville,VIRTUALISATION.staging-nova-referentieltiers.customer_mail.city,CIHOne.CLIENTS.Personnes_Morales.adresses,PTP-TIE-POR,Complétude,8161791,8133227,99.65,PASS,2026-06-05T15:57:12
code_pays,VIRTUALISATION.staging-nova-referentieltiers.customer_mail.country_code,CIHOne.CLIENTS.Personnes_Morales.adresses,PTP-TIE-POR,Complétude,8161791,8160003,99.98,PASS,2026-06-05T15:57:12
code_segment,VIRTUALISATION.staging-nova-referentieltiers.customer_segmentation.segment_number,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Complétude,78,77,98.72,PASS,2026-06-05T15:57:12
radical_personnes_physique,VIRTUALISATION.staging-nova-referentieltiers.customers.customer_number,CIHOne.CLIENTS.Professionnels.relations_professional_personnes_physiques,PTP-TIE-POR,Complétude,4605596,4605596,100.00,PASS,2026-06-05T15:57:12
codepaysdenationalite,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_description.nationality_country,CIHOne.CLIENTS.Personnes_Morales.associes,PTP-TIE-POR,Complétude,91109,89916,98.69,PASS,2026-06-05T15:57:12
code_pays_de_nationalite,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_description.nationality_country,CIHOne.CLIENTS.Personnes_Morales.clients,PTP-TIE-POR,Complétude,91109,89916,98.69,PASS,2026-06-05T15:57:12
codepaysdedomiciliation,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_description.domicile_country,CIHOne.CLIENTS.Personnes_Morales.associes,PTP-TIE-POR,Complétude,91109,91092,99.98,PASS,2026-06-05T15:57:12
code_pays_de_domiciliation,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_description.domicile_country,CIHOne.CLIENTS.Personnes_Morales.clients,PTP-TIE-POR,Complétude,91109,91092,99.98,PASS,2026-06-05T15:57:12
datecreationjuridique,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_description.creation_date,CIHOne.CLIENTS.Personnes_Morales.gerants,PTP-TIE-POR,Complétude,91109,89799,98.56,PASS,2026-06-05T15:57:12
raisonsocial,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_description.corporate_name,CIHOne.CLIENTS.Personnes_Morales.gerants,PTP-TIE-POR,Complétude,91109,91109,100.00,PASS,2026-06-05T15:57:12
identifiant_fatca,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_description.fatca_identification_number,CIHOne.CLIENTS.Personnes_Morales.clients,PTP-TIE-POR,Complétude,91109,42,0.05,FAIL,2026-06-05T15:57:12
chiffre_affaire,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_financial_data.turnover,CIHOne.CLIENTS.Personnes_Morales.clients,PTP-TIE-POR,Complétude,90209,83320,92.36,PASS,2026-06-05T15:57:12
capital,VIRTUALISATION.staging-nova-referentieltiers.legal_entity_financial_data.capital,CIHOne.CLIENTS.Personnes_Morales.clients,PTP-TIE-POR,Complétude,90209,82939,91.94,PASS,2026-06-05T15:57:12
code_pays_de_residence,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.residence_country,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Complétude,4605595,4598602,99.85,PASS,2026-06-05T15:57:12
nombre_d_enfants,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.number_of_child,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Complétude,4605595,4598922,99.86,PASS,2026-06-05T15:57:12
code_pays_de_nationalite,VIRTUALISATION.staging-nova-referentieltiers.natural_person_description.nationality_country,CIHOne.CLIENTS.Personnes_Physiques.clients,PTP-TIE-POR,Complétude,4605595,4596960,99.81,PASS,2026-06-05T15:57:12
